SchoolName,Type,NumberBoys,NumberGirls,OfstedGrade
Thornhill Primary School,Primary,225,230,3
Vittoria Primary School,Primary,115,105,2
Winton Primary School,Primary,125,100,2
Yerbury Primary School,Primary,245,220,1
Tufnell Park Primary School,Primary,165,165,2
Highbury Quadrant Primary School,Primary,205,215,2
Ashmount Primary School,Primary,185,200,2
Prior Weston Primary School and Children's Centre,Primary,225,255,2
Hungerford Primary School and Children's Centre,Primary,265,240,2
Clerkenwell Parochial CofE Primary School,Primary,105,115,2
Sacred Heart Catholic Primary School,Primary,205,220,2
St John Evangelist RC Primary School,Primary,140,165,2
St John's Upper Holloway CofE Primary School,Primary,125,95,2
St John's Highbury Vale CofE Primary School,Primary,85,120,1
St Joseph's RC Primary School,Primary,205,230,1
St Jude and St Paul's CofE Primary School,Primary,100,95,2
St Luke's CofE Primary School,Primary,120,115,2
St Mark's CofE Primary School,Primary,100,105,2
St Mary's CofE Primary School,Primary,75,105,2
St Peter and St Paul RC Primary School,Primary,110,110,2
St Andrew's (Barnsbury) Church of England Primary School,Primary,105,90,3
St Joan of Arc RC Primary School,Primary,225,215,2
Christ The King RC Primary School,Primary,195,175,2
Blessed Sacrament RC Primary School,Primary,115,110,2
Highbury Grove School,Secondary,785,395,1
Holloway School,Secondary,545,255,2
Highbury Fields School,Secondary,0,755,2
Elizabeth Garrett Anderson School,Secondary,0,815,1
Central Foundation Boys' School,Secondary,875,30,1
St Aloysius RC College,Secondary,1020,15,1
Mount Carmel Catholic College for Girls,Secondary,0,410,2
Ashburnham Community School,Primary,115,85,1
Barlby Primary School,Primary,160,180,1
Bevington Primary School,Primary,170,150,1
Bousfield Primary School,Primary,225,195,1
Colville Primary School,Primary,180,190,2
Fox Primary School,Primary,185,145,1
Oxford Gardens Primary School,Primary,210,215,2
Park Walk Primary School,Primary,130,105,2
Avondale Park Primary School,Primary,200,195,2
Thomas Jones Primary School,Primary,105,130,1
Christ Church CofE Primary School,Primary,85,125,1
Holy Trinity CofE Primary School,Primary,105,100,2
Oratory Roman Catholic Primary School,Primary,105,105,1
St Thomas' CofE Primary School,Primary,105,125,1
St Barnabas and St Philip's CofE Primary School,Primary,95,105,1
Saint Francis of Assisi Catholic Primary School,Primary,165,165,1
St Clement and St James CofE Primary School,Primary,120,105,2
St Joseph RC Primary School,Primary,100,120,1
St Mary Abbots CofE Primary School,Primary,100,110,2
St Cuthbert with St Matthias CofE Primary School,Primary,110,105,3
Saint Mary's Catholic Primary School,Primary,205,185,3
Servite RC Primary School,Primary,130,105,1
Saint Thomas More Language College,Secondary,405,205,1
Sion-Manning RC Girls' School,Secondary,0,475,2
Our Lady of Victories RC Primary School,Primary,110,125,1
St Charles Catholic Primary School,Primary,185,135,2
Ashmole Primary School,Primary,125,95,3
Clapham Manor Primary School,Primary,215,235,1
Granton Primary School,Primary,260,270,2
Heathbrook Primary School,Primary,180,175,3
Henry Cavendish Primary School,Primary,430,400,1
Jessop Primary School,Primary,225,210,1
Kingswood Primary School,Primary,450,415,1
Lark Hall Primary School (Including Lark Hall Centre for Pupils with Autism),Primary,235,190,2
Paxton Primary School,Primary,115,120,1
Richard Atkins Primary School,Primary,200,220,2
Stockwell Primary School,Primary,270,290,2
Sudbourne Primary School,Primary,155,195,1
Sunnyhill Primary School,Primary,290,290,2
Telferscot Primary School,Primary,170,195,1
Vauxhall Primary School,Primary,120,110,1
Walnut Tree Walk Primary School,Primary,145,135,2
Woodmansterne Primary School,Primary,280,235,1
Wyvil Primary School and Centres for Children With Speech and Language Impairment and Autism,Primary,270,265,1
Crown Lane Primary School,Primary,250,235,2
Fenstanton Primary School,Primary,315,325,2
Elm Wood School,Primary,195,195,1
Allen Edwards Primary School,Primary,225,215,2
Glenbrook Primary School,Primary,220,195,3
Julian's School,Primary,320,260,2
Herbert Morrison Primary School,Primary,110,115,3
Streatham Wells Primary School,Primary,130,115,2
Archbishop Sumner Church of England Primary School,Primary,155,135,1
Christ Church Primary SW9,Primary,100,100,2
"Christ Church , Streatham Church of England Primary School",Primary,100,105,2
Macaulay Church of England Primary School,Primary,120,95,1
St Andrew's Church of England Primary School,Primary,90,115,2
St John the Divine Church of England Primary School,Primary,110,110,3
St John's Angell Town Church of England Primary School,Primary,125,120,2
St Jude's Church of England Primary School,Primary,100,105,1
St Leonard's Church of England Primary School,Primary,105,105,2
St Luke's Church of England Primary School,Primary,90,100,3
St Mark's Church of England Primary School,Primary,80,110,2
St Saviour's Church of England Primary School,Primary,105,95,2
St Stephen's Church of England Primary School,Primary,125,110,2
Holy Trinity Church of England Primary School,Primary,200,200,2
St Helen's Catholic School,Primary,140,130,2
Norwood School,Secondary,435,410,2
Lilian Baylis Technology School,Secondary,435,360,1
Saint Gabriel's College,Secondary,130,275,2
St Bernadette Catholic Junior School,Primary,110,130,2
St Anne's Catholic Primary School,Primary,210,210,2
St Bede's Catholic Infant School,Primary,105,125,2
St Andrew's Catholic Primary School,Primary,255,235,1
Immanuel and St Andrew Church of England Primary School,Primary,205,225,1
Reay Primary School,Primary,120,130,2
St Mary's Roman Catholic Primary School,Primary,170,180,1
La Retraite Roman Catholic Girls' School,Secondary,10,905,1
Bishop Thomas Grant Catholic Secondary School,Secondary,655,525,1
Archbishop Tenison's School,Secondary,475,15,2
London Nautical School,Secondary,625,5,2
Adamsrill Primary School,Primary,265,265,3
Athelney Primary School,Primary,260,225,2
Baring Primary School,Primary,150,125,2
Beecroft Garden Primary,Primary,215,185,1
Childeric Primary School,Primary,265,235,2
Cooper's Lane Primary School,Primary,275,300,2
Dalmain Primary School,Primary,210,230,2
Deptford Park Primary School,Primary,330,350,2
Downderry Primary School,Primary,255,260,2
Edmund Waller Primary School,Primary,230,240,2
Elfrida Primary School,Primary,240,210,2
Forster Park Primary School,Primary,270,225,2
Gordonbrock Primary School,Primary,285,325,2
Grinling Gibbons Primary School,Primary,135,155,1
Haseltine Primary School,Primary,300,265,1
Brindishe Green School,Primary,335,340,1
Holbeach Primary School,Primary,260,255,2
John Stainer Community Primary School,Primary,185,175,1
Kelvin Grove Primary School,Primary,345,300,2
Kender Primary School,Primary,220,210,2
Launcelot Primary School,Primary,240,245,2
Brindishe Manor School,Primary,270,215,1
Lucas Vale Primary School,Primary,235,230,1
Marvels Lane Primary School,Primary,220,215,3
Rangefield Primary School,Primary,250,230,1
Rathfern Primary School,Primary,250,260,1
Rushey Green Primary School,Primary,295,330,2
Sandhurst Junior School,Primary,170,165,2
Sandhurst Infant and Nursery School,Primary,170,195,2
Stillness Junior School,Primary,160,180,2
Stillness Infant School,Primary,165,155,1
Torridon Junior School,Primary,190,190,2
Torridon Infant School,Primary,180,175,1
John Ball Primary School,Primary,260,255,1
Fairlawn Primary School,Primary,245,275,1
Eliot Bank Primary School,Primary,285,250,1
Sir Francis Drake Primary School,Primary,100,105,2
Myatt Garden Primary School,Primary,255,255,2
Horniman Primary School,Primary,125,110,2
Perrymount Primary School,Primary,145,105,2
Ashmead Primary School,Primary,160,140,2
Brindishe Lee School,Primary,150,115,1
Kilmorie Primary School,Primary,270,285,2
All Saints' Church of England Primary School,Primary,95,115,1
St Mary Magdalen's Catholic Primary School,Primary,95,100,2
St George's CofE Primary School,Primary,120,115,2
Good Shepherd RC School,Primary,120,145,2
Holy Trinity Church of England Primary School,Primary,100,90,2
St Margaret's Lee CofE Primary School,Primary,120,125,1
St Augustine's Catholic Primary School and Nursery,Primary,105,130,1
St Bartholomews's Church of England Primary School,Primary,165,180,2
St James's Hatcham Church of England Primary School,Primary,115,115,2
St John Baptist Southend Church of England Primary School,Primary,115,95,1
St Joseph's Catholic Primary School,Primary,140,135,2
St Mary's Lewisham Church of England Primary School,Primary,125,115,3
St Michael's Church of England Primary School,Primary,105,115,2
Our Lady and St Philip Neri Roman Catholic Primary School,Primary,165,165,2
St Saviour's Catholic Primary School,Primary,120,110,2
St Stephen's Church of England Primary School,Primary,150,135,2
St William of York Catholic Primary School,Primary,145,130,2
Holy Cross Roman Catholic Primary School,Primary,115,145,2
Deptford Green School,Secondary,480,340,3
Sydenham School,Secondary,5,1325,2
Conisborough College,Secondary,480,380,2
Sedgehill School,Secondary,780,685,3
Forest Hill School,Secondary,1380,10,2
Prendergast Ladywell School,All Through,450,445,3
Addey and Stanhope School,Secondary,365,325,2
"Trinity Church of England School, Lewisham",All Through,390,285,3
Prendergast School,Secondary,95,795,1
Bonus Pastor Catholic College,Secondary,460,300,2
Turnham Primary Foundation School,Primary,270,230,2
Albion Primary School,Primary,165,160,1
Bellenden Primary School,Primary,140,140,2
Camelot Primary School,Primary,245,270,3
Charles Dickens Primary School,Primary,210,190,1
Cobourg Primary School,Primary,235,210,2
Comber Grove School,Primary,165,165,2
Crampton School,Primary,100,110,1
Crawford Primary School,Primary,255,245,1
Dog Kennel Hill School,Primary,245,235,2
Goodrich Community Primary School,Primary,350,350,2
Grange Primary School,Primary,190,195,2
Heber Primary School,Primary,235,250,2
Hollydale Primary School,Primary,120,145,3
Ilderton Primary School,Primary,220,190,1
Ivydale Primary School,Primary,250,255,2
John Ruskin Primary School and Language Classes,Primary,295,230,1
Keyworth Primary School,Primary,220,220,1
Dulwich Wood Primary School,Primary,115,105,2
Lyndhurst Primary School,Primary,195,190,2
Michael Faraday School,Primary,200,230,2
Riverside Primary School,Primary,165,160,1
Robert Browning Primary School,Primary,200,170,2
Rotherhithe Primary School,Primary,240,225,2
Snowsfields Primary School,Primary,115,105,2
Southwark Park School,Primary,200,235,2
Tower Bridge Primary School,Primary,95,95,3
Townsend Primary School,Primary,120,115,2
Victory School,Primary,105,85,2
Charlotte Sharman Primary School,Primary,175,185,2
Phoenix Primary School,Primary,250,220,1
Pilgrims' Way Primary School,Primary,115,130,2
Alfred Salter Primary School,Primary,230,235,2
Oliver Goldsmith Primary School,Primary,250,245,2
Boutcher Church of England Primary School,Primary,90,115,1
Dulwich Village Church of England Infants' School,Primary,150,120,1
English Martyrs Roman Catholic Primary School,Primary,210,230,3
St James the Great Roman Catholic Primary School,Primary,100,125,2
St Francis RC Primary School,Primary,210,210,2
St George's Church of England Primary School,Primary,100,75,3
St George's Cathedral Catholic Primary School,Primary,170,155,2
St James' Church of England Primary School,Primary,265,270,2
St Johns' and St Clements Church of England Primary School,Primary,205,215,2
St John's Walworth Church of England Primary School,Primary,100,105,1
St Joseph's Roman Catholic Primary School,Primary,155,175,1
St Joseph's Catholic Primary School,Primary,120,130,1
"Saint Joseph's Catholic Primary School, the Borough",Primary,120,125,2
St Jude's Church of England Primary School,Primary,80,75,2
St Mary Magdalene Church of England Primary School,Primary,120,115,2
Peter Hills with St Mary's and St Paul's CofE Primary School,Primary,120,105,2
"St Paul's Church of England Primary School, Walworth",Primary,195,160,2
St Peter's Church of England Primary School,Primary,115,130,2
The Cathedral School of St Saviour and St Mary Overy,Primary,120,115,1
St John's Roman Catholic Primary School,Primary,125,120,2
St Saviour's and St Olave's Church of England School,Secondary,0,785,1
St Francesca Cabrini Primary School,Primary,220,190,2
St Anthony's Catholic Primary School,Primary,210,220,2
St Joseph's Catholic Junior School,Primary,115,125,2
St Joseph's Catholic Infants School,Primary,70,90,2
Friars Primary Foundation School,Primary,115,115,2
The St Thomas the Apostle College,Secondary,595,0,1
Notre Dame Roman Catholic Girls' School,Secondary,0,610,1
Ben Jonson Primary School,Primary,280,315,2
Bonner Primary School,Primary,350,335,1
Old Palace Primary School,Primary,205,210,1
Canon Barnett Primary School,Primary,150,140,2
Cayley Primary School,Primary,270,280,2
Blue Gate Fields Junior School,Primary,185,170,1
Chisenhale Primary School,Primary,175,175,2
Columbia Primary School,Primary,225,225,2
Cubitt Town Junior School,Primary,185,185,2
Cyril Jackson Primary School,Primary,275,200,1
The Clara Grant Primary School,Primary,250,240,2
Globe Primary School,Primary,200,165,2
Hague Primary School,Primary,110,110,2
Harbinger Primary School,Primary,165,175,3
John Scurr Primary School,Primary,245,235,2
Lawdale Junior School,Primary,125,145,2
Elizabeth Selby Infants' School,Primary,135,120,2
Marion Richardson Primary School,Primary,225,225,2
Marner Primary School,Primary,330,305,2
Mayflower Primary School,Primary,200,155,2
Mowlem Primary School,Primary,120,115,2
Blue Gate Fields Infants' School,Primary,185,180,2
Olga Primary School,Primary,115,120,3
Redlands Primary School,Primary,240,230,2
Manorfield Primary School,Primary,360,345,1
Stebon Primary School,Primary,260,275,2
Stewart Headlam Primary School,Primary,245,200,2
Virginia Primary School,Primary,105,120,2
Wellington Primary School,Primary,215,205,2
Woolmore Primary School,Primary,165,145,2
Thomas Buxton Primary School,Primary,210,235,2
Seven Mills Primary School,Primary,130,110,2
Cubitt Town Infants' School,Primary,155,190,2
Osmani Primary School,Primary,200,225,2
Shapla Primary School,Primary,95,125,3
Hermitage Primary School,Primary,175,155,2
Bangabandhu Primary School,Primary,235,235,2
Halley Primary School,Primary,105,130,2
Bigland Green Primary School,Primary,225,250,3
Kobi Nazrul Primary School,Primary,105,115,4
Smithy Street School,Primary,245,200,1
Bygrove Primary School,Primary,125,115,1
William Davis Primary School,Primary,110,125,2
Christ Church CofE School,Primary,95,95,2
Guardian Angels Roman Catholic Primary School,Primary,100,105,2
Stepney Greencoat Church of England Primary School,Primary,105,95,2
St Agnes RC Primary School,Primary,120,110,1
St Anne's Catholic Primary School,Primary,185,150,3
St Edmund's Catholic School,Primary,105,120,2
St John's Church of England Primary School,Primary,115,95,3
St Luke's Church of England Primary School,Primary,180,170,2
St Matthias Church of England Primary School,Primary,120,105,2
St Paul with St Luke CofE Primary School,Primary,125,125,3
St Paul's Whitechapel Church of England Primary School,Primary,95,125,1
St Peter's London Docks CofE Primary School,Primary,130,100,2
St Saviour's Church of England Primary School,Primary,100,135,2
English Martyrs Roman Catholic Primary School,Primary,105,125,2
Bow School,Secondary,555,40,2
Langdon Park Community School,Secondary,470,455,3
Morpeth School,Secondary,830,650,1
Mulberry School for Girls,Secondary,0,1435,1
Stepney Green Mathematics and Computing College,Secondary,915,0,2
St Paul's Way Trust School,All Through,650,560,1
Oaklands School,Secondary,360,420,2
Swanlea School,Secondary,830,405,1
George Green's School,Secondary,570,535,2
Central Foundation Girls' School,Secondary,0,1475,2
Sir John Cass Foundation and Redcoat Church of England Secondary School,Secondary,900,685,1
Bishop Challoner Catholic Federations of Girls School,Secondary,100,795,1
Raine's Foundation School,Secondary,365,335,3
Alderbrook Primary School,Primary,145,145,2
Allfarthing Primary School,Primary,215,205,2
Beatrix Potter Primary School,Primary,210,200,2
Brandlehow Primary School,Primary,160,165,1
Broadwater Primary School,Primary,245,220,2
Chesterton Primary School,Primary,245,230,1
Eardley School,Primary,235,240,2
Earlsfield Primary School,Primary,265,255,2
Falconbrook Primary School,Primary,180,155,2
Fircroft Primary School,Primary,220,240,2
Franciscan Primary School,Primary,240,235,2
Furzedown Primary School,Primary,215,230,2
High View Primary School,Primary,185,165,3
Honeywell Junior School,Primary,185,175,1
Honeywell Infant School,Primary,185,150,1
Hotham Primary School,Primary,220,200,2
John Burns Primary School,Primary,100,115,2
Penwortham Primary School,Primary,280,310,2
Ravenstone Primary School,Primary,230,200,3
Riversdale Primary School,Primary,165,155,2
Sellincourt Primary School,Primary,235,215,3
Shaftesbury Park Primary School,Primary,145,140,2
Smallwood Primary School and Language Unit,Primary,215,185,2
Swaffield Primary School,Primary,265,245,2
West Hill Primary School,Primary,175,135,2
Wix Primary School,Primary,170,160,3
Sheringdale Primary School,Primary,160,160,1
Southmead Primary School,Primary,215,230,2
Granard Primary School,Primary,240,210,2
Heathmere Primary School,Primary,140,150,2
Ronald Ross Primary School,Primary,125,120,1
Albemarle Primary School,Primary,145,135,1
The Alton School,Primary,130,120,3
"All Saints' CofE Primary School, Putney",Primary,120,135,1
Christ Church CofE Primary School,Primary,105,100,2
Holy Ghost Catholic Primary School,Primary,110,100,1
Our Lady of Victories Catholic Primary School,Primary,100,95,1
Roehampton CofE Primary School,Primary,115,115,2
St Anne's CofE Primary School,Primary,110,90,2
St Boniface RC Primary School,Primary,180,180,1
St Faith's CofE Primary School,Primary,95,115,2
St George's CofE Primary School,Primary,115,110,1
St Joseph's RC Primary School,Primary,125,110,2
St Mary's CofE Primary School,Primary,120,135,1
Trinity St Mary's CofE Primary School,Primary,105,110,2
St Mary's RC Voluntary Aided Primary School,Primary,110,90,2
St Michael's CofE Primary School,Primary,195,215,1
"Sacred Heart Catholic Primary School, Roehampton",Primary,210,200,2
Our Lady Queen of Heaven RC School,Primary,135,130,1
St Anselm's Catholic Primary School,Primary,125,90,1
Ernest Bevin College,Secondary,1250,10,1
Hillbrook School,Primary,310,260,1
Barrow Hill Junior School,Primary,120,110,2
Paddington Green Primary School,Primary,175,175,2
Edward Wilson Primary School,Primary,230,195,2
Essendine Primary School,Primary,230,235,2
George Eliot Primary School,Primary,225,235,1
Hallfield Primary School,Primary,270,310,2
Robinsfield Infant School,Primary,110,90,2
Queen's Park Primary School,Primary,145,155,2
All Souls CofE Primary School,Primary,95,90,2
Burdett-Coutts and Townshend Foundation CofE Primary School,Primary,160,180,2
Hampden Gurney CofE Primary School,Primary,120,120,1
Our Lady of Dolours RC Primary School,Primary,150,140,2
St Augustine's CofE Primary School,Primary,105,125,2
St Barnabas' CofE Primary School,Primary,65,75,2
St Clement Danes CofE Primary School,Primary,100,120,1
St Edward's Catholic Primary School,Primary,190,205,2
St Gabriel's CofE Primary School,Primary,105,85,2
St George's Hanover Square CofE Primary School,Primary,90,110,2
Soho Parish CofE Primary School,Primary,75,75,2
St James & St John Church of England Primary School,Primary,80,95,2
St Joseph's RC Primary School,Primary,170,145,2
St Luke's CofE Primary School,Primary,85,100,2
St Mary Magdalene CofE Primary School,Primary,125,105,2
St Mary's Bryanston Square CofE School,Primary,110,115,3
St Mary of the Angels RC Primary School,Primary,170,145,2
"St Matthew's School, Westminster",Primary,90,100,2
St Peter's CofE School,Primary,105,100,2
St Peter's Eaton Square CofE Primary School,Primary,135,165,1
St Saviour's CofE Primary School,Primary,115,120,1
St Stephen's CofE Primary School,Primary,100,100,2
St Vincent's RC Primary School,Primary,110,125,1
St Vincent de Paul RC Primary School,Primary,125,110,3
Westminster Cathedral RC Primary School,Primary,100,95,2
Christ Church Bentinck CofE Primary School,Primary,115,125,2
St Augustine's CofE High School,Secondary,495,440,1
The James Cambell Primary School,Primary,455,430,2
Dorothy Barley Infants' School,Primary,235,210,3
Manor Junior School,Primary,245,235,2
Manor Infants' School/Manor Longbridge,Primary,595,520,2
Northbury Primary School,Primary,440,460,2
Ripple Primary School,Primary,575,540,3
Beam Primary School,Primary,335,295,2
Furze Infants' School,Primary,245,225,2
Grafton Primary School,Primary,480,445,2
Marks Gate Infants' School,Primary,165,150,2
Marsh Green Primary School,Primary,175,175,2
The Leys Primary School,Primary,180,225,2
Warren Junior School,Primary,250,220,1
